"NEE","Cleaned_NEE"
-1.1647584,-1.1647584
0.13225505,0.13225505
-0.9870061,-0.9870061
-0.20651904,-0.20651904
-1.237107,-1.237107
-1.2657627,-1.2657627
-1.1617513,-1.1617513
-0.37748408,-0.37748408
-1.1514262,-1.1514262
-0.83270085,-0.83270085
-0.77716434,-0.77716434
-0.9891043,-0.9891043
-1.1644478,-1.1644478
-0.59042776,-0.59042776
-0.5248687,-0.5248687
-1.1038334,-1.1038334
-0.19343475,-0.19343475
-0.5433252,-0.5433252
-0.80558854,-0.80558854
-0.91308576,-0.91308576
-1.5850717,-1.5850717
-1.6203295,-1.6203295
-1.3924581,-1.3924581
-1.0867021,-1.0867021
-1.4425051,-1.4425051
-1.5142105,-1.5142105
-1.4864733,-1.4864733
-1.5720804,-1.5720804
-1.5277526,-1.5277526
-1.0850983,-1.0850983
-1.222453,-1.222453
-1.7259258,-1.7259258
-0.49115938,-0.49115938
-1.1890917,-1.1890917
-0.76223654,-0.76223654
0.5077434,0.5077434
-0.97382843,-0.97382843
-1.5725355,-1.5725355
-1.9116848,-1.9116848
-1.9846753,-1.9846753
-0.9730136,-0.9730136
-0.96433747,-0.96433747
-1.5379094,-1.5379094
-1.633065,-1.633065
-1.9907765,-1.9907765
-1.7101039,-1.7101039
-1.589015,-1.589015
-1.7847018,-1.7847018
-1.6382064,-1.6382064
-1.7635518,-1.7635518
-1.7094849,-1.7094849
-1.8304265,-1.8304265
-1.891228,-1.891228
-1.6987734,-1.6987734
-2.2866862,-2.2866862
-2.0687566,-2.0687566
-2.0814133,-2.0814133
-2.2017052,-2.2017052
-2.2882059,-2.2882059
-2.0941997,-2.0941997
-1.9838396,-1.9838396
-1.9221091,-1.9221091
-1.9915892,-1.9915892
-2.113699,-2.113699
-1.8604352,-1.8604352
-1.7386167,-1.7386167
-1.1046275,-1.1046275
-1.8176308,-1.8176308
-2.131308,-2.131308
-1.5833529,-1.5833529
-0.50745696,-0.50745696
-0.03561043,-0.03561043
-1.7522544,-1.7522544
-1.1084769,-1.1084769
-1.8674017,-1.8674017
-1.9600563,-1.9600563
-1.9779705,-1.9779705
-1.945876,-1.945876
-1.6350894,-1.6350894
-1.7419087,-1.7419087
-2.1201754,-2.1201754
-2.052722,-2.052722
-2.042516,-2.042516
-1.9243714,-1.9243714
-1.8690475,-1.8690475
-1.6822723,-1.6822723
-1.906327,-1.906327
-2.3686237,-2.3686237
-2.2583795,-2.2583795
-2.211415,-2.211415
-2.2361956,-2.2361956
-2.5843174,-2.5843174
-2.516015,-2.516015
-2.5340924,-2.5340924
-2.421667,-2.421667
-2.4570818,-2.4570818
-2.2977266,-2.2977266
-2.104043,-2.104043
-1.8585405,-1.8585405
-2.09535,-2.09535
-2.27166,-2.27166
-1.8771259,-1.8771259
-1.9804784,-1.9804784
-2.0809143,-2.0809143
-1.9619184,-1.9619184
-2.1522536,-2.1522536
-1.9704516,-1.9704516
-1.7012395,-1.7012395
-1.8475528,-1.8475528
-1.9521443,-1.9521443
-1.9515251,-1.9515251
0.08273037,0.08273037
-2.1166327,-2.1166327
-1.644825,-1.644825
-1.7777021,-1.7777021
-1.7352142,-1.7352142
-1.7538635,-1.7538635
-1.6923819,-1.6923819
-1.6139572,-1.6139572
-1.7085471,-1.7085471
-1.7585142,-1.7585142
-1.2447567,-1.2447567
-1.0197455,-1.0197455
-1.6030693,-1.6030693
-1.3882635,-1.3882635
-1.5529221,-1.5529221
-1.300689,-1.300689
-2.0280879,-2.0280879
-1.6979601,-1.6979601
-1.255423,-1.255423
-1.2883016,-1.2883016
-1.301699,-1.301699
-0.79590344,-0.79590344
-0.83409524,-0.83409524
-1.1117045,-1.1117045
-1.7732759,-1.7732759
-1.1996416,-1.1996416
-0.33656812,-0.33656812
-1.2925655,-1.2925655
-0.09357307,-0.09357307
-1.1450243,-1.1450243
-1.4635559,-1.4635559
-1.206536,-1.206536
-0.87893957,-0.87893957
-0.79920095,-0.79920095
-1.5960404,-1.5960404
-0.91764814,-0.91764814
-1.3556739,-1.3556739
-1.3989718,-1.3989718
-1.5526444,-1.5526444
-1.568456,-1.568456
-1.6237346,-1.6237346
-0.4307801,-0.4307801
-0.30905965,-0.30905965
-1.0180374,-1.0180374
-1.5375862,-1.5375862
-1.7509879,-1.7509879
-1.4479346,-1.4479346
-0.57373697,-0.57373697
-0.3587367,-0.3587367
-0.57266045,-0.57266045
-1.0533427,-1.0533427
-0.50768125,-0.50768125
-0.44638798,-0.44638798
-0.18615115,-0.18615115
-0.3321186,-0.3321186
-0.36016732,-0.36016732
0.006996009,0.006996009
-0.696144,-0.696144
-0.13853306,-0.13853306
-0.7551771,-0.7551771
-0.572637,-0.572637
-0.20803443,-0.20803443
0.13451853,0.13451853
-0.48354715,-0.48354715
-0.07691208,-0.07691208
-0.44012418,-0.44012418
0.16921905,0.16921905
-0.030435601,-0.030435601
-0.076134354,-0.076134354
-0.61052376,-0.61052376
-0.81165445,-0.81165445
-0.25838217,-0.25838217
-0.37932274,-0.37932274
-1.1421758,-1.1421758
-1.2876369,-1.2876369
-1.2713361,-1.2713361
-0.7499691,-0.7499691
-0.5869795,-0.5869795
-1.3192261,-1.3192261
-0.6166337,-0.6166337
-0.78776515,-0.78776515
-0.9799243,-0.9799243
-1.0903761,-1.0903761
-0.9151287,-0.9151287
-0.6430872,-0.6430872
-1.4645612,-1.4645612
-1.516737,-1.516737
-0.97881556,-0.97881556
-1.2707101,-1.2707101
-0.78735137,-0.78735137
-0.8913724,-0.8913724
-0.2577355,-0.2577355
-1.0002525,-1.0002525
-1.244392,-1.244392
-1.6138456,-1.6138456
0.061804317,0.061804317
0.85843915,0.85843915
-0.5631572,-0.5631572
-0.8080954,-0.8080954
-1.4206527,-1.4206527
-0.81818646,-0.81818646
-1.4787331,-1.4787331
-1.0865343,-1.0865343
-0.2390321,-0.2390321
-1.5142332,-1.5142332
-1.4721946,-1.4721946
-1.1996157,-1.1996157
-1.4794005,-1.4794005
-1.3131825,-1.3131825
0.53981644,0.53981644
-0.025982348,-0.025982348
-1.3844174,-1.3844174
-0.7652555,-0.7652555
-1.3095548,-1.3095548
0.84783137,0.84783137
0.059115194,0.059115194
-0.033759106,-0.033759106
1.5636379,1.5636379
0.33255246,0.33255246
0.83092934,0.83092934
-0.24039318,-0.24039318
-0.18187486,-0.18187486
-0.04175505,-0.04175505
-1.0545264,-1.0545264
-1.3542322,-1.3542322
-0.32655132,-0.32655132
-0.5761936,-0.5761936
0.37275532,0.37275532
-0.95187163,-0.95187163
-0.8766882,-0.8766882
-0.9722641,-0.9722641
-1.7793475,-1.7793475
-0.059463006,-0.059463006
-1.2616735,-1.2616735
-0.8688447,-0.8688447
-0.7093864,-0.7093864
-1.5746434,-1.5746434
-0.54301125,-0.54301125
-1.5325841,-1.5325841
-0.13699721,-0.13699721
1.7764182,1.7764182
1.4790764,1.4790764
-0.015508566,-0.015508566
-0.9198797,-0.9198797
1.4251711,1.4251711
1.7086507,1.7086507
0.6764435,0.6764435
-1.1841227,-1.1841227
-0.85075915,-0.85075915
1.9006329,1.9006329
1.3459952,1.3459952
0.86380816,0.86380816
0.7804939,0.7804939
0.42527404,0.42527404
0.3374155,0.3374155
